Configuration,time,num_colors,min_conflict,conflicts,best
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0012140274047851562,4,0,"[[0, 3], [50, 8]]","[0, 3, 0, 1, 2, 2, 2, 1, 1, 3, 0]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.00012493133544921875,4,0,"[[0, 5]]","[3, 0, 3, 2, 0, 1, 1, 2, 1, 0, 3]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.00014734268188476562,4,0,"[[0, 3], [50, 1]]","[3, 0, 3, 1, 0, 3, 1, 3, 1, 0, 2]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0004229545593261719,4,0,"[[0, 2], [50, 3], [100, 4], [150, 3], [200, 3]]","[0, 3, 2, 3, 0, 1, 3, 1, 1, 1, 0]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0002071857452392578,4,0,"[[0, 6], [50, 4]]","[2, 0, 1, 0, 3, 1, 3, 1, 1, 3, 0]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0004410743713378906,4,0,"[[0, 3], [50, 5], [100, 4], [150, 4]]","[1, 0, 3, 2, 1, 1, 0, 3, 3, 1, 2]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0002129077911376953,4,0,"[[0, 5]]","[1, 2, 1, 2, 0, 0, 3, 3, 2, 0, 1]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.00012302398681640625,4,0,"[[0, 6]]","[3, 0, 2, 2, 0, 1, 1, 1, 2, 0, 3]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.00061798095703125,4,0,"[[0, 4], [50, 3], [100, 5], [150, 4]]","[1, 3, 0, 0, 3, 1, 2, 2, 0, 2, 3]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",9.393692016601562e-05,4,0,"[[0, 4]]","[1, 3, 0, 0, 1, 2, 2, 0, 3, 2, 1]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0003237724304199219,4,0,"[[0, 4], [50, 8]]","[1, 3, 2, 2, 1, 0, 0, 0, 0, 1, 2]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0008502006530761719,4,0,"[[0, 2], [50, 2], [100, 8], [150, 6], [200, 2], [250, 5]]","[2, 1, 3, 0, 2, 2, 1, 0, 1, 2, 3]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0006947517395019531,4,0,"[[0, 1], [50, 5], [100, 4], [150, 5], [200, 5]]","[0, 3, 1, 3, 0, 0, 3, 2, 3, 0, 1]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0009529590606689453,4,0,"[[0, 3], [50, 5], [100, 3], [150, 3], [200, 1], [250, 4]]","[2, 1, 3, 1, 2, 3, 1, 3, 1, 0, 2]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0002779960632324219,4,0,"[[0, 6], [50, 7]]","[2, 1, 2, 3, 1, 0, 3, 3, 0, 0, 2]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.000225067138671875,4,0,"[[0, 4], [50, 1]]","[3, 0, 3, 1, 0, 2, 0, 1, 1, 0, 3]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0004208087921142578,4,0,"[[0, 7], [50, 8], [100, 4]]","[1, 2, 0, 0, 2, 3, 3, 0, 3, 1, 2]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0006530284881591797,4,0,"[[0, 2], [50, 4], [100, 4], [150, 5]]","[0, 2, 0, 3, 1, 0, 2, 3, 2, 2, 1]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.00013303756713867188,5,0,"[[0, 5]]","[3, 2, 1, 2, 0, 0, 2, 4, 2, 0, 3]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0004239082336425781,5,0,"[[0, 2], [50, 4], [100, 5]]","[0, 4, 0, 4, 3, 0, 1, 0, 1, 1, 3]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0002028942108154297,5,0,"[[0, 3]]","[3, 4, 3, 1, 4, 0, 0, 2, 1, 0, 4]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.00034689903259277344,5,0,"[[0, 4], [50, 2]]","[3, 1, 0, 2, 4, 3, 4, 2, 0, 4, 1]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0002620220184326172,5,0,"[[0, 6], [50, 4]]","[0, 1, 3, 2, 1, 3, 2, 2, 3, 1, 4]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 4.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0001857280731201172,5,0,"[[0, 3]]","[4, 0, 4, 3, 2, 1, 1, 4, 1, 2, 0]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.00023174285888671875,5,0,"[[0, 4], [50, 2]]","[4, 1, 4, 0, 3, 3, 2, 4, 0, 2, 1]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0003390312194824219,5,0,"[[0, 4], [50, 2]]","[4, 2, 3, 0, 1, 4, 1, 3, 3, 1, 0]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.00016999244689941406,5,0,"[[0, 4]]","[4, 2, 3, 1, 2, 3, 2, 4, 3, 2, 0]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.00014781951904296875,5,0,"[[0, 4]]","[4, 2, 3, 2, 1, 3, 2, 4, 3, 0, 1]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.00039124488830566406,5,0,"[[0, 5], [50, 2], [100, 3]]","[1, 4, 0, 2, 3, 3, 4, 0, 4, 4, 1]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 5.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.00010585784912109375,5,0,"[[0, 1]]","[0, 4, 2, 3, 4, 0, 4, 0, 1, 0, 3]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0003380775451660156,5,0,"[[0, 4], [50, 5]]","[0, 2, 0, 3, 4, 4, 4, 0, 1, 4, 3]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.994, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0002601146697998047,5,0,"[[0, 5], [50, 5]]","[3, 2, 1, 4, 0, 1, 0, 4, 4, 0, 2]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0005681514739990234,5,0,"[[0, 5], [50, 3], [100, 3], [150, 4]]","[4, 2, 1, 1, 2, 0, 0, 4, 1, 3, 2]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.995, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0003879070281982422,5,0,"[[0, 7], [50, 5], [100, 2]]","[1, 3, 2, 3, 0, 1, 4, 1, 3, 4, 0]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 3000}",0.0006418228149414062,5,0,"[[0, 2], [50, 5], [100, 3], [150, 4]]","[4, 1, 4, 1, 3, 3, 2, 4, 2, 0, 1]"
"{'filename': 'myciel3.col', 'INITIAL_TEMPERATURE': 6.0, 'COOLING_RATE': 0.996, 'MIN_TEMPERATURE': 0.05, 'MAX_ITERATIONS': 5000}",0.0007631778717041016,5,0,"[[0, 3], [50, 3], [100, 1], [150, 5], [200, 4]]","[0, 2, 1, 4, 0, 0, 3, 1, 3, 2, 4]"
